Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Harvest,Emissions,Temperature Change,Standard Deviation,Flag,Flag Description,Note
GR,Rice Cultivation,49,Cuba,5312,Area harvested,27,"Rice, paddy",2010,2010,3050,FAO TIER 1,ha,176429,49400.1,0.469,0.268,,Official data,
GR,Rice Cultivation,49,Cuba,5312,Area harvested,27,"Rice, paddy",2011,2011,3050,FAO TIER 1,ha,208046,58252.9,0.316,0.268,,Official data,
GR,Rice Cultivation,49,Cuba,5312,Area harvested,27,"Rice, paddy",2012,2012,3050,FAO TIER 1,ha,202708,56758.2,0.39,0.268,,Official data,
GR,Rice Cultivation,49,Cuba,5312,Area harvested,27,"Rice, paddy",2013,2013,3050,FAO TIER 1,ha,197823,55390.4,0.661,0.268,,Official data,
GR,Rice Cultivation,49,Cuba,5312,Area harvested,27,"Rice, paddy",2014,2014,3050,FAO TIER 1,ha,171572,48040.2,0.859,0.268,,Official data,
GR,Rice Cultivation,49,Cuba,5312,Area harvested,27,"Rice, paddy",2015,2015,3050,FAO TIER 1,ha,112166,31406.5,1.114,0.268,,Official data,
GR,Rice Cultivation,49,Cuba,5312,Area harvested,27,"Rice, paddy",2016,2016,3050,FAO TIER 1,ha,140016,39204.5,1.156,0.268,,Official data,
GR,Rice Cultivation,49,Cuba,5312,Area harvested,27,"Rice, paddy",2017,2017,3050,FAO TIER 1,ha,112356,31459.7,1.284,0.268,,Official data,
GR,Rice Cultivation,49,Cuba,5312,Area harvested,27,"Rice, paddy",2018,2018,3050,FAO TIER 1,ha,133716,37440.5,1.111,0.268,,Official data,
GR,Rice Cultivation,49,Cuba,5312,Area harvested,27,"Rice, paddy",2019,2019,3050,FAO TIER 1,ha,108402,30352.6,1.572,0.268,Im,FAO data based on imputation methodology,
GR,Rice Cultivation,56,Dominican Republic,5312,Area harvested,27,"Rice, paddy",2010,2010,3050,FAO TIER 1,ha,178430,48961.2,1.269,0.271,,Official data,
