ID,Ref No , Methods,Scale,Crop,Country,Site(location),Region,latitude,longitude,Current Average Temperature (dC)_area_weighted,Current Average Temperature_point_coordinate (dC),Current Annual Precipitation (mm) _area_weighted ,Current Annual Precipitation  (mm) _point_coordinate,Future_Mid-point,Baseline_Mid-point,Time slice,Climate scenario,Scenario source,Local delta T ,Local delta T from 2005,Annual Precipitation change each study  (mm) , Annual Precipitation change  from 2005 (mm),Global delta T from pre-industrial period ,Global delta T from 2005,Projected yield (t/ha),Climate impacts (%),Climate impacts relative to 2005,Climate impacts per dC (%),Climate impacts per decade (%),CO2,CO2 ppm,Fertiliser,Irrigation,Cultivar,Soil organic matter management,Planting time,Tillage,Others,Adaptation,Adaptation type,Reference,doi,Publication year,"Note1 
(* = corrected by HW) ","Note2 
(* = Local temperature is  estimated )","Note3 
(* = Local delta Pr is  estimated )","Note4 
(* = Global temperature is  estimated )",Seasonal Precipitation change (mm) each study (local baseperiod),Base precipitation (annual) (mm) (local base period),Annual Preciptation change (%) (relative to local base),Base precipitation (seasonal) (mm) (local base period)
1,1,SCOPUS-NewSearch,Regional,Maize,Pakistan,Punjub,Asia,31.4 ,73.1 ,25.5 ,25.5 ,429 ,429 ,2054,1995,MC,RCP8.5,CMIP5,2.94 ,2.44 ,87.6 ,72.8 ,2.50 ,1.71 ,5.6 ,-19.60 ,-16.28 ,-6.67 ,-3.32 ,Yes,564.3 ,No,No,No,No,No,No,No,No,No,"Ahmad et al., 2020",10.1016/j.eja.2020.126040,2020,,,,,,,,
2,1,SCOPUS-NewSearch,Regional,Maize,Pakistan,Punjub,Asia,31.4 ,73.1 ,25.5 ,25.5 ,429 ,429 ,2054,1995,MC,RCP8.5,CMIP5,2.94 ,2.44 ,87.6 ,72.8 ,2.50 ,1.71 ,7.9 ,14.00 ,11.63 ,4.76 ,2.37 ,Yes,564.3 ,Yes,No,Yes,No,Yes,No,Yes,Yes,Combined,"Ahmad et al., 2020",10.1016/j.eja.2020.126040,2020,,,,,,,,
3,2,SCOPUS-NewSearch,Regional,Maize,United States,Wyoming,North America,43.3 ,-104.1 ,10.2 ,10.2 ,468 ,468 ,2055,1998,MC,RCP8.5,CMIP5,,2.01 ,,11.1 ,2.56 ,1.77 ,8.5 ,-22.40 ,-19.65 ,-9.76 ,-3.93 ,Yes,570.5 ,No,No,No,No,No,No,No,No,No,"Burchfield et al., 2020",10.1007/s10584-019-02567-7,2020,,*,*,,,,,
4,2,SCOPUS-NewSearch,Regional,Maize,United States,Wyoming,North America,43.3 ,-104.1 ,10.2 ,10.2 ,468 ,468 ,2055,1998,MC,RCP8.5,CMIP5,,2.01 ,,11.1 ,2.56 ,1.77 ,13.6 ,25.00 ,21.93 ,10.89 ,4.39 ,Yes,570.5 ,No,No,No,No,No,No,Yes,Yes,Others,"Burchfield et al., 2020",10.1007/s10584-019-02567-7,2020,,*,*,,,,,
5,3,SCOPUS-NewSearch,Regional,Maize,China,Hubei,Asia,30.0 ,110.0 ,14.7 ,14.7 ,1371 ,1371 ,2050,1983,MC,RCP4.5,CMIP5,1.15 ,0.77 ,,55.3 ,1.46 ,0.67 ,,-5.36 ,-3.60 ,-4.66 ,-0.80 ,Yes,486.5 ,No,No,No,No,No,No,No,No,No,"Chen et al., 2020",10.1016/j.agrformet.2019.107867,2020,,,*,,48.7 ,,,
6,3,SCOPUS-NewSearch,Regional,Maize,China,Hubei,Asia,30.0 ,110.0 ,14.7 ,14.7 ,1371 ,1371 ,2050,1983,MC,RCP8.5,CMIP5,1.31 ,0.88 ,,57.1 ,1.63 ,0.84 ,,-6.04 ,-4.06 ,-4.61 ,-0.90 ,Yes,540.5 ,No,No,No,No,No,No,No,No,No,"Chen et al., 2020",10.1016/j.agrformet.2019.107867,2020,,,*,,44.0 ,,,
7,4,SCOPUS-NewSearch,Regional,Maize,China,Hubei,Asia,37.4 ,115.2 ,14.8 ,14.8 ,487 ,487 ,2025,2006,NF,RCP4.5,CMIP5,0.40 ,0.42 ,,27.6 ,1.34 ,0.55 ,6.7 ,-5.40 ,-5.68 ,-13.50 ,-2.84 ,No,378.8 ,No,No,No,No,No,No,No,No,No,"Li et al., 2020",10.1007/s00704-019-02956-z,2020,,,*,,10.2 ,1314 ,,
8,4,SCOPUS-NewSearch,Regional,Maize,China,Hubei,Asia,37.4 ,115.2 ,14.8 ,14.8 ,487 ,487 ,2035,2006,NF,RCP4.5,CMIP5,1.20 ,1.24 ,,35.8 ,1.62 ,0.83 ,6.8 ,-3.90 ,-4.03 ,-3.25 ,-1.34 ,No,378.8 ,No,No,No,No,No,No,No,No,No,"Li et al., 2020",10.1007/s00704-019-02956-z,2020,,,*,,39.5 ,1314 ,,
9,4,SCOPUS-NewSearch,Regional,Maize,China,Hubei,Asia,37.4 ,115.2 ,14.8 ,14.8 ,487 ,487 ,2045,2006,MC,RCP4.5,CMIP5,1.80 ,1.85 ,,47.4 ,2.04 ,1.25 ,6.8 ,-3.70 ,-3.79 ,-2.06 ,-0.95 ,No,378.8 ,No,No,No,No,No,No,No,No,No,"Li et al., 2020",10.1007/s00704-019-02956-z,2020,,,*,,33.7 ,1314 ,,
10,4,SCOPUS-NewSearch,Regional,Maize,China,Hubei,Asia,37.4 ,115.2 ,14.8 ,14.8 ,487 ,487 ,2025,2006,NF,RCP4.5,CMIP5,0.40 ,0.42 ,,27.6 ,1.34 ,0.55 ,6.9 ,-2.50 ,-2.63 ,-6.25 ,-1.32 ,Yes,447.8 ,No,No,No,No,No,No,No,No,No,"Li et al., 2020",10.1007/s00704-019-02956-z,2020,,,*,,10.2 ,1314 ,,
